ticker,name,facial_trust_appearance_proxy,is_ceo,source_positions,face_score
MOEX,Aleksandr Vadimovich Izosimov,0.9568359399781688,False,Director/Board Member,65.94726566630281
MOEX,Bella Zlatkis,0.2674643200057438,False,Director/Board Member,54.4577386667624
MOEX,Paul Anne F Bodart,,False,Director/Board Member,
MOEX,Ramón Morales Adarraga,-0.6578339426683895,False,Director/Board Member,39.03610095552684
MOEX,Sergey Lykov,-0.8298032514495381,False,Director/Board Member,36.169945809174365
MOEX,Valery Pavlovich Goreglyad,,False,Director/Board Member,
MRKC,Igor Vladimirovich Makovsky,-0.2778465430620379,True,Chief Executive Officer | Director/Board Member,45.36922428229937
MRKC,Artem Gennadievich Aleshin,-0.4538251293544449,False,Director of Finance/CFO,42.436247844092584
MRKC,Andrey Yuryevich Zemskov,,False,Chief Investment Officer,
MRKC,Sergey Aleksandrovich Ternikov,,False,Investor Relations Contact,
MRKC,Yuliya Sharkova,,False,Corporate Officer/Principal,
MRKC,Maxim Mikhailovich Saukh,,False,Director/Board Member,
MRKC,Aleksander V. Shevchuk,,False,Director/Board Member,
MRKC,Alexander Viktorovich Golovtsov,0.3493582397451521,False,Director/Board Member,55.82263732908587
MRKC,Vitaly Yuryevich Zarkhin,0.3450084881357527,False,Director/Board Member,55.75014146892921
MRKC,Larisa Anatolyevna Romanovskaya,,False,Director/Board Member,
MRKC,Andrey Logatkin,0.6128759450102532,False,Director/Board Member,60.21459908350422
MRKC,Dmitry Alexandrovich Chevkin,0.6128759450102532,False,Director/Board Member,60.21459908350422
MRKC,Aleksander Viktorovich Varvarin,-0.5433583682799047,False,Director/Board Member,40.94402719533492
MRKC,Alexander Ivanovich Kazakov,,False,Director/Board Member,
MRKP,Igor Vladimirovich Makovsky,-0.2778465430620379,True,Chief Executive Officer,45.36922428229937
MRKP,Alexandrovich T. Sergey,,False,Investor Relations Contact,
MRKP,Sergey Vladimirovich Khlusov,,False,Corporate Officer/Principal,
