ticker,education_name,matched_name,method,score
ELFV,Рачкин Сергей Владимирович,Рачкин Сергей Владимирович,exact,100.0
ELFV,Рожина Лариса Николаевна,Рожина Лариса Николаевна,exact,100.0
ELFV,Седова Жанна Игоревна,Седова Жанна Игоревна,exact,100.0
ELFV,Тналин Алибек Айбекович,Тналин Алибек Айбекович,exact,100.0
ELFV,Юзефович Елена Константиновна,Юзефович Елена Константиновна,exact,100.0
ENPG,Бахтина Ирина,Бахтина Ирина,exact,100.0
ENPG,Галенская Людмила Петровна,Галенская Людмила Петровна,exact,100.0
ENPG,Гераскин Вадим Викторович,Гераскин Вадим Викторович,exact,100.0
ENPG,Горбатова Анастасия Владимировна,Горбатова Анастасия Владимировна,exact,100.0
ENPG,Данилов Александр,Данилов Александр,exact,100.0
ENPG,Джеймс У. Рэйдер (J.W. Rader),Джеймс У. Рэйдер,exact,100.0
ENPG,Джеймс Шваб (James Schwab),Джеймс Шваб,exact,100.0
ENPG,Колмогоров Владимир Васильевич,Колмогоров Владимир Васильевич,exact,100.0
ENPG,Конопацкий Виктор,Конопацкий Виктор,exact,100.0
ENPG,Кристофер Бэнкрофт Бернэм (Christopher Bancroft Burnham),Кристофер Бернэм,unique_name_subset,100.0
ENPG,Малевинская Анна Александровна,Малевинская Анна Александровна,exact,100.0
ENPG,Плугарь Андрей Георгиевич,Плугарь Андрей Георгиевич,exact,100.0
ENPG,Погосбеков Давид Дешенович,Погосбеков Давид Дешенович,exact,100.0
ENPG,Санарова Ольга,Санарова Ольга,exact,100.0
ENPG,Тэргуд Маршалл Мл. (Thurgood Marshall Jr.),Тэргуд Маршалл Мл.,exact,100.0
ENPG,Филина Ольга Владимировна,Филина Ольга Владимировна,exact,100.0
ENPG,Фокина Жанна Сергеевна,Фокина Жанна Сергеевна,exact,100.0
ENPG,Шаронов Андрей Владимирович,Шаронов Андрей Владимирович,exact,100.0
ENPG,Яновский Андрей Владимирович,Яновский Андрей Владимирович,exact,100.0
ETLN,Бузулуцкий Михаил Игоревич,Бузулуцкий Михаил Игоревич,exact,100.0
ETLN,Волошин Александр Стальевич,Волошин Александр Стальевич,exact,100.0
ETLN,Егоров Сергей Валерьевич,Егоров Сергей Валерьевич,exact,100.0
ETLN,Крифтис Андреас,Андреас Крифтис,exact,100.0
ETLN,Оглоблина Марина Евгеньевна,Оглоблина Марина Евгеньевна,exact,100.0
ETLN,Пыльцов Виталий Николаевич,Пыльцов Виталий Николаевич,exact,100.0
ETLN,Щербина Геннадий Филиппович,Щербина Геннадий Филиппович,exact,100.0
EUTR,Алексеенков Олег Олегович,Алексеенков Олег Олегович,exact,100.0
EUTR,Алексеенков Сергей Олегович,Алексеенков Сергей Олегович,exact,100.0
EUTR,Депутатов Георгий Юрьевич,Депутатов Георгий Юрьевич,exact,100.0
