ticker,name,Nom_2015,Nom_2016,Nom_2017,Nom_2018,Nom_2019,Nom_2020,Nom_2021,Nom_2022,Nom_2023,Nom_2024,is_ceo,source_positions,awards_raw,awards_score
GAZP,Кузнец Сергей Иванович,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Марков Владимир Константинович,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Меньшиков Сергей Николаевич,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Михаленко Вячеслав Александрович,,,,,,,,,,,False,Член Правления,0.0,0.0
GAZP,Симдякин Вадим Михайлович,,,,,,,N,,,,False,Член Правления,1.0,22.7670248696953
GAZP,Зубков Виктор Алексеевич,,,,,,,,,,,False,Председатель СД,0.0,0.0
GAZP,Мантуров Денис Валентинович,,,,,,,,,,,False,Член СД,0.0,0.0
GAZP,Маркелов Виталий Анатольевич,,,,,,,,,,,False,"Член СД, член Правления",0.0,0.0
GAZP,Акимов Андрей Игоревич,N,,,,,,,,,,False,Член СД,1.0,22.7670248696953
GAZP,Мартынов Виктор Георгиевич,,,,,,,,,,,False,Член СД,0.0,0.0
GAZP,Максимцев Игорь Анатольевич,,,,,,,,,,,False,Член СД,0.0,0.0
GAZP,Середа Михаил Леонидович,,,,,,,,,,,False,Член СД,0.0,0.0
GAZP,Новак Александр Валентинович,,,,,,,,,,,False,Член СД,0.0,0.0
GAZP,Патрушев Дмитрий Николаевич,,,,,,,,,,,False,Член СД,0.0,0.0
GEMC,Яновский Андрей Владимирович,,,,,,,,,,,True,"CEO, член СД",0.0,0.0
GEMC,Минаков Георгий Викторович,,,,,,,,,,,False,Руководитель подразделения внутреннего аудита,0.0,0.0
GEMC,Шмелев Дмитрий Сергеевич,,,,,,,,,,,False,"CFO, Председатель СД",0.0,0.0
GEMC,Вольский Владислав Михайлович,,,,,,,,,,,False,Член СД,0.0,0.0
GEMC,Тронин Андрей Владимирович,,,,,,,,,,,False,Член СД,0.0,0.0
GEMC,Лобанов Олег Валентинович,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Газизов Антон,,,,,,,,,,,False,"Управляющий директор, член СД",0.0,0.0
GLTR,Джафар Борхан,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Жуслен Хейраллах,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Абдулла Белобайда,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Абдултайаб Бахрейнвала,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Альбина Амангельдинова,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Ержан Ниязалиев,,,,,,,,,,,False,Председатель СД,0.0,0.0
GLTR,Кайрат Итемгенов,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Сторожев Александр Валентинович,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Вячеслав Станиславский,N,N,,,N,N,N,,,,False,Член СД,5.0,58.85190554114832
GLTR,Руслан Изатов,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Стефан Хенрих,,,,,,,,,,,False,Член СД,0.0,0.0
GLTR,Юсеф Абу Лабан,,,,,,,,,,,False,Член СД,0.0,0.0
GMKN,Потанин Владимир Олегович,,,,,,,,,N,N,False,Президент,2.0,36.08488067145302
HEAD,Сергиенков Дмитрий Сергеевич,,,,,N,N,N,,N,N,True,"Генеральный директор, Член СД",5.0,58.85190554114832
HEAD,Арсеньев Сергей Станиславович,,,,,,,,,,,False,Член СД,0.0,0.0
HEAD,Байцур Антон Григорьевич,,,,,,,,,,,False,Член СД,0.0,0.0
HEAD,Дуглас Гарднер,,,,,,,,,,,False,Член СД,0.0,0.0
HEAD,Григорьев Дмитрий Константинович,,,,,,,,,N,N,False,Член СД,2.0,36.08488067145302
HEAD,Крюков Дмитрий Викторович,,,,,,,,,,,False,Член СД,0.0,0.0
HEAD,Машков Валентин Сергеевич,,,,,,,,,,,False,Член СД,0.0,0.0
HEAD,Ушакова Светлана Александровна,,,,,,,,,,,False,Член СД,0.0,0.0
HEAD,Филатова Ольга Геннадьевна,,,N,,,,,,,,False,Член СД,1.0,22.7670248696953
HNFG,Арутюнян Рубен Альбертович,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Адамян Амаяк Степаевич,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Глазов Василий Владимирович,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Золотарева Светлана Сергеевна,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Киреев Михаил Сергеевич,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Коршунова Анна Сергеевна,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Мелконян Гагик Аршавирович,,,,,,,,,,,True,"Член СД, Генеральный директор",0.0,0.0
HNFG,Мороз Александр Евгеньевич,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Нахапетян Гор Борисович,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Рихтер Пауль,,,,,,,,,,,False,Член СД,0.0,0.0
HNFG,Саркисян Акоп Гургенович,,,,,,,,,,,False,Член СД,0.0,0.0
HYDR,Хмарин Виктор Викторович,,,,,,,,,,,True,Генеральный директор,0.0,0.0
HYDR,Панин Виктор Евгеньевич,,,,,,,,,,,False,Член СД,0.0,0.0
HYDR,Исаков Александр Юрьевич,,,,,,,,,,,False,Член СД,0.0,0.0
HYDR,Недотко Вадим Владиславович,,,,,,,,,,,False,Член СД,0.0,0.0
HYDR,Евграфова Елена Олеговна,,,,,,,,,,,False,Член СД,0.0,0.0
HYDR,Финкель Дмитрий Владимирович,,,,,,,,,,,False,Член СД,0.0,0.0
IRAO,Дрегваль Сергей Георгиевич,,,,,,,,,,,True,"Генеральный директор, Член СД",0.0,0.0
IRAO,Бугров Андрей Евгеньевич,N,,N,N,N,,N,N,,,False,Член СД,6.0,63.91511932854698
IRAO,Быстров Максим Сергеевич,,,,,,,,,,,False,Член СД,0.0,0.0
IRAO,Гавриленко Анатолий Анатольевич,,,,,,,,,,,False,Член СД,0.0,0.0
IRAO,Локшин Александр Маркович,,,,,,,,,,,False,Член СД,0.0,0.0
IRAO,Миловидов Владимир Дмитриевич,,,,,,,,,,,False,Член СД,0.0,0.0
IRAO,Муров Андрей Евгеньевич,,N,N,N,N,,,,,,False,Член СД,4.0,52.863394681944804
IRAO,Опадчий Фёдор Юрьевич,,,,,,,,,,,False,Член СД,0.0,0.0
IRAO,Сечин Игорь Иванович,,,,,,,,,,,False,Член СД,0.0,0.0
IRAO,Федоров Денис Владимирович,,,,,,,,,,,False,Член СД,0.0,0.0
IRAO,Шугаев Дмитрий Евгеньевич,,,,,,,,,,,False,Член СД,0.0,0.0
IVAT,Иодковский Эдмунд Феликсович,,,,,,,,,,,True,"Генеральный директор, Член СД",0.0,0.0
IVAT,Зокин Андрей Александрович,,,,,,,,,,,False,Член СД,0.0,0.0
IVAT,Терентьев Евгений Викторович,,,,,,,,,,,False,Член СД,0.0,0.0
IVAT,Черных Сергей Дмитриевич,,,,,,,,,,,False,Член СД,0.0,0.0
IVAT,Петров Виктор Александрович,,,,,,,,,,,False,Член СД,0.0,0.0
IVAT,Смирнов Максим Сергеевич,,,,,,,,,,,False,Член СД,0.0,0.0
IVAT,Батыров Ренат Рафикович,,,,,,,,,,,False,Член СД,0.0,0.0
IVAT,Манойло Андрей Федорович,,,,,,,,,,,False,Член СД,0.0,0.0
IVAT,Смирнов Павел Игоревич,,,,,,,,,,,False,Член СД,0.0,0.0
