ticker,name,yandex_count,is_ceo,source_positions,media_score
VSEH,Луннов Андрей Геннадьевич,695.0,False,Член Совета директоров ПАО «ВИ.ру»; неисполнительный директор; коммерческий директор ООО «ВсеИнструменты.ру»,56.85213541132076
UPRO,Талалаева Елена Владимировна,691.0,False,Начальник Управления казначейских операций и риск-менеджмента ПАО «Юнипро»,56.8020725517285
TRNFP,Савкин Владимир Васильевич,688.0,False,Директор департамента информационных технологий и цифрового развития ПАО «Транснефть»,56.764335133524
AKRN,Попов Александр Валериевич,686.0,False,Председатель СД,56.739085458493975
FEES,Ляпунов Евгений Викторович,683.0,False,Член Правления,56.70107278472251
KAZT,Былинин Андрей Николаевич,680.0,False,Член СД,56.66289302173824
NVTK,Ирина Гайда,680.0,False,Член СД,56.66289302173824
DIAS,Бочкарев Сергей Викторович,678.0,False,Председатель СД,56.63734629128208
FIXP,Кирсанов Дмитрий Николаевич,677.0,False,Управляющий директор,56.62454469413258
YDEX,Александра Сагалович,676.0,False,Руководитель Яндекс Музыки,56.61172420162988
BELU,Иконников Александр Вячеславович,676.0,False,Член СД,56.61172420162988
VSEH,Безумов Олег Игоревич,674.0,False,Член Совета директоров ПАО «ВИ.ру»; исполнительный директор; финансовый директор ООО «ВсеИнструменты.ру»,56.5860263068683
CBOM,Маликова Дина Ринатовна,671.0,True,Председатель правления,56.5473363449298
OGKB,Земляной Евгений Николаевич,669.0,False,неисполнительный,56.52144696035695
AQUA,Чернова Екатерина Анатольевна,662.0,False,Председатель СД,56.430221553672865
SFIN,Dmitriev Maxim Vladimirovich,660.0,False,Director/Board Member,56.40398019808304
MRKP,Igor Vladimirovich Makovsky,658.0,True,Chief Executive Officer,56.37765932311235
BELU,Молчанов Сергей Витальевич,656.0,False,Член СД+Операционный директор,56.35125844535916
IVAT,Смирнов Павел Игоревич,654.0,False,Член СД,56.32477707700052
HNFG,Адамян Амаяк Степаевич,654.0,False,Член СД,56.32477707700052
RUAL,Egorov Anton Aleksandrovich,650.0,False,Director/Board Member,56.27157089474276
OZON,Герасимов Игорь Владиславович,649.0,False,Исполнительный директор,56.258218267833925
LSRG,Левит Игорь Михайлович,643.0,False,Член СД,56.177668552137305
DIAS,Глазков Александр Валериевич,643.0,True,"CEO, член СД",56.177668552137305
ENPG,Колмогоров Владимир Васильевич,641.0,True,CEO,56.15065178978447
GLTR,Вячеслав Станиславский,640.0,False,Член СД,56.13711183054434
ELFV,Леонова Нина Васильевна,638.0,False,Член Правления,56.109968426912346
MGTSP,Лариса Владимировна Бодягина,637.0,False,Director/Board Member,56.09636484998345
MTSS,Paul Berriman,636.0,False,Director/Board Member,56.0827399341016
DELI,Чораян Григорий Ованесович,630.0,False,Член СД,56.000538543676136
TGKB,Иванова Юлия Валентиновна,625.0,False,Правление: Председатель Правления и и. о. Генерального директора (с 29.06.2024); заместитель Председателя Правления (до 28.06.2024),55.931438083021646
