iteration,sample_size,unique_companies,status,reason
934,64,45,ok,
935,64,39,ok,
936,64,37,ok,
937,64,37,ok,
938,64,41,ok,
939,64,40,ok,
940,64,35,ok,
941,64,40,ok,
942,64,45,ok,
943,64,43,ok,
944,64,45,ok,
945,64,41,ok,
946,64,40,ok,
947,64,41,ok,
948,64,43,ok,
949,64,37,ok,
950,64,40,ok,
951,64,43,ok,
952,64,42,ok,
953,64,37,ok,
954,64,37,ok,
955,64,37,ok,
956,64,43,ok,
957,64,37,ok,
958,64,41,ok,
959,64,44,ok,
960,64,38,ok,
961,64,41,ok,
962,64,42,ok,
963,64,41,ok,
964,64,40,ok,
965,64,40,ok,
966,64,43,ok,
967,64,36,ok,
968,64,43,ok,
969,64,44,ok,
970,64,40,ok,
971,64,41,ok,
972,64,44,ok,
973,64,44,ok,
974,64,34,ok,
975,64,40,ok,
976,64,38,ok,
977,64,38,ok,
978,64,44,ok,
979,64,39,ok,
980,64,40,ok,
981,64,41,ok,
982,64,36,ok,
983,64,37,ok,
984,64,40,ok,
985,64,37,ok,
986,64,41,ok,
987,64,39,ok,
988,64,38,ok,
989,64,42,ok,
990,64,40,ok,
991,64,38,ok,
992,64,43,ok,
993,64,41,ok,
994,64,40,ok,
995,64,37,ok,
996,64,41,ok,
997,64,39,ok,
998,64,42,ok,
999,64,40,ok,
1000,64,39,ok,
1001,64,39,ok,
1002,64,42,ok,
1003,64,41,ok,
1004,64,39,ok,
1005,64,42,ok,
1006,64,36,ok,
1007,64,40,ok,
1008,64,43,ok,
1009,64,43,ok,
1010,64,43,ok,
1011,64,38,ok,
1012,64,38,ok,
1013,64,41,ok,
1014,64,35,ok,
1015,64,43,ok,
1016,64,38,ok,
1017,64,39,ok,
1018,64,42,ok,
1019,64,40,ok,
1020,64,37,ok,
1021,64,35,ok,
1022,64,40,ok,
1023,64,40,ok,
1024,64,44,ok,
1025,64,34,ok,
1026,64,42,ok,
1027,64,45,ok,
1028,64,44,ok,
1029,64,36,ok,
1030,64,37,ok,
1031,64,43,ok,
1032,64,38,ok,
1033,64,41,ok,
1034,64,37,ok,
1035,64,41,ok,
1036,64,38,ok,
1037,64,41,ok,
1038,64,38,ok,
1039,64,39,ok,
1040,64,38,ok,
1041,64,36,ok,
1042,64,42,ok,
1043,64,40,ok,
1044,64,40,ok,
1045,64,39,ok,
1046,64,39,ok,
1047,64,35,ok,
1048,64,40,ok,
1049,64,37,ok,
1050,64,39,ok,
1051,64,40,ok,
1052,64,44,ok,
1053,64,37,ok,
1054,64,40,ok,
1055,64,39,ok,
1056,64,38,ok,
1057,64,41,ok,
1058,64,38,ok,
1059,64,41,ok,
1060,64,42,ok,
1061,64,40,ok,
1062,64,39,ok,
1063,64,39,ok,
1064,64,44,ok,
1065,64,42,ok,
1066,64,40,ok,
1067,64,40,ok,
1068,64,42,ok,
1069,64,37,ok,
1070,64,43,ok,
1071,64,42,ok,
1072,64,41,ok,
1073,64,43,ok,
1074,64,41,ok,
1075,64,41,ok,
1076,64,38,ok,
1077,64,44,ok,
1078,64,44,ok,
1079,64,36,ok,
1080,64,46,ok,
1081,64,35,ok,
1082,64,40,ok,
1083,64,36,ok,
1084,64,41,ok,
1085,64,38,ok,
1086,64,44,ok,
1087,64,40,ok,
1088,64,40,ok,
1089,64,39,ok,
1090,64,43,ok,
1091,64,41,ok,
1092,64,38,ok,
1093,64,42,ok,
1094,64,41,ok,
1095,64,38,ok,
1096,64,38,ok,
1097,64,41,ok,
1098,64,38,ok,
1099,64,41,ok,
1100,64,40,ok,
1101,64,40,ok,
1102,64,39,ok,
1103,64,40,ok,
1104,64,40,ok,
1105,64,40,ok,
1106,64,38,ok,
1107,64,36,ok,
1108,64,41,ok,
1109,64,37,ok,
1110,64,42,ok,
1111,64,43,ok,
1112,64,39,ok,
1113,64,40,ok,
1114,64,42,ok,
1115,64,43,ok,
1116,64,42,ok,
1117,64,42,ok,
1118,64,40,ok,
1119,64,41,ok,
1120,64,41,ok,
1121,64,41,ok,
1122,64,42,ok,
1123,64,38,ok,
1124,64,38,ok,
1125,64,40,ok,
1126,64,40,ok,
1127,64,42,ok,
1128,64,40,ok,
1129,64,41,ok,
1130,64,43,ok,
1131,64,37,ok,
1132,64,37,ok,
1133,64,41,ok,
1134,64,40,ok,
1135,64,38,ok,
1136,64,42,ok,
1137,64,45,ok,
1138,64,43,ok,
1139,64,41,ok,
1140,64,42,ok,
1141,64,40,ok,
1142,64,45,ok,
1143,64,43,ok,
1144,64,40,ok,
1145,64,44,ok,
1146,64,42,ok,
1147,64,38,ok,
1148,64,42,ok,
1149,64,39,ok,
1150,64,45,ok,
1151,64,45,ok,
1152,64,38,ok,
1153,64,42,ok,
1154,64,36,ok,
1155,64,42,ok,
1156,64,44,ok,
1157,64,38,ok,
1158,64,45,ok,
1159,64,38,ok,
1160,64,41,ok,
1161,64,43,ok,
1162,64,38,ok,
1163,64,40,ok,
1164,64,46,ok,
1165,64,39,ok,
1166,64,44,ok,
1167,64,40,ok,
1168,64,44,ok,
1169,64,38,ok,
1170,64,40,ok,
1171,64,38,ok,
1172,64,41,ok,
1173,64,37,ok,
1174,64,42,ok,
1175,64,41,ok,
1176,64,41,ok,
1177,64,38,ok,
1178,64,41,ok,
1179,64,45,ok,
1180,64,40,ok,
1181,64,44,ok,
1182,64,39,ok,
1183,64,41,ok,
1184,64,36,ok,
1185,64,42,ok,
1186,64,45,ok,
1187,64,37,ok,
1188,64,41,ok,
1189,64,41,ok,
1190,64,40,ok,
1191,64,36,ok,
1192,64,42,ok,
1193,64,41,ok,
1194,64,43,ok,
1195,64,39,ok,
1196,64,46,ok,
1197,64,43,ok,
1198,64,44,ok,
1199,64,41,ok,
1200,64,45,ok,
1201,64,43,ok,
1202,64,43,ok,
1203,64,39,ok,
1204,64,37,ok,
1205,64,38,ok,
1206,64,38,ok,
1207,64,43,ok,
1208,64,39,ok,
1209,64,39,ok,
1210,64,37,ok,
1211,64,44,ok,
1212,64,39,ok,
1213,64,42,ok,
1214,64,41,ok,
1215,64,41,ok,
1216,64,42,ok,
1217,64,36,ok,
1218,64,40,ok,
1219,64,40,ok,
1220,64,44,ok,
1221,64,36,ok,
1222,64,39,ok,
1223,64,45,ok,
1224,64,41,ok,
1225,64,38,ok,
1226,64,43,ok,
1227,64,39,ok,
1228,64,39,ok,
1229,64,45,ok,
1230,64,43,ok,
1231,64,42,ok,
1232,64,42,ok,
1233,64,43,ok,
1234,64,40,ok,
1235,64,41,ok,
1236,64,38,ok,
1237,64,39,ok,
1238,64,41,ok,
1239,64,39,ok,
1240,64,41,ok,
1241,64,35,ok,
1242,64,42,ok,
1243,64,39,ok,
1244,64,40,ok,
1245,64,40,ok,
1246,64,44,ok,
1247,64,39,ok,
1248,64,39,ok,
1249,64,44,ok,
1250,64,42,ok,
1251,64,41,ok,
1252,64,39,ok,
1253,64,44,ok,
1254,64,44,ok,
1255,64,37,ok,
1256,64,44,ok,
1257,64,42,ok,
1258,64,39,ok,
1259,64,40,ok,
1260,64,40,ok,
1261,64,35,ok,
1262,64,39,ok,
1263,64,39,ok,
1264,64,43,ok,
1265,64,40,ok,
1266,64,38,ok,
1267,64,39,ok,
1268,64,40,ok,
1269,64,40,ok,
1270,64,44,ok,
1271,64,36,ok,
1272,64,41,ok,
1273,64,42,ok,
1274,64,40,ok,
1275,64,47,ok,
1276,64,40,ok,
1277,64,43,ok,
1278,64,46,ok,
1279,64,41,ok,
1280,64,38,ok,
1281,64,47,ok,
1282,64,41,ok,
1283,64,46,ok,
1284,64,43,ok,
1285,64,42,ok,
1286,64,43,ok,
1287,64,38,ok,
1288,64,39,ok,
1289,64,43,ok,
1290,64,40,ok,
1291,64,41,ok,
1292,64,42,ok,
1293,64,42,ok,
1294,64,44,ok,
1295,64,41,ok,
1296,64,44,ok,
1297,64,40,ok,
1298,64,39,ok,
1299,64,37,ok,
1300,64,36,ok,
1301,64,43,ok,
1302,64,42,ok,
1303,64,41,ok,
1304,64,45,ok,
1305,64,41,ok,
1306,64,40,ok,
1307,64,40,ok,
1308,64,43,ok,
1309,64,36,ok,
1310,64,43,ok,
1311,64,43,ok,
1312,64,37,ok,
1313,64,41,ok,
1314,64,38,ok,
1315,64,42,ok,
1316,64,37,ok,
1317,64,39,ok,
1318,64,39,ok,
1319,64,39,ok,
1320,64,33,ok,
1321,64,43,ok,
1322,64,42,ok,
1323,64,37,ok,
1324,64,38,ok,
1325,64,35,ok,
1326,64,42,ok,
1327,64,40,ok,
1328,64,43,ok,
1329,64,39,ok,
1330,64,37,ok,
1331,64,39,ok,
1332,64,38,ok,
1333,64,39,ok,
1334,64,46,ok,
1335,64,37,ok,
1336,64,40,ok,
1337,64,38,ok,
1338,64,43,ok,
1339,64,45,ok,
1340,64,42,ok,
1341,64,37,ok,
1342,64,41,ok,
1343,64,44,ok,
1344,64,42,ok,
1345,64,39,ok,
1346,64,41,ok,
1347,64,45,ok,
1348,64,39,ok,
1349,64,39,ok,
1350,64,40,ok,
1351,64,40,ok,
1352,64,37,ok,
1353,64,40,ok,
1354,64,45,ok,
1355,64,38,ok,
