iteration,sample_size,unique_companies,status,reason
669,28,18,ok,
670,28,17,ok,
671,28,18,ok,
672,28,21,ok,
673,28,19,ok,
674,28,18,ok,
675,28,18,ok,
676,28,21,ok,
677,28,17,ok,
678,28,20,ok,
679,28,17,ok,
680,28,18,ok,
681,28,20,ok,
682,28,18,ok,
683,28,20,ok,
684,28,16,ok,
685,28,17,ok,
686,28,19,ok,
687,28,17,ok,
688,28,18,ok,
689,28,17,ok,
690,28,15,ok,
691,28,19,ok,
692,28,18,ok,
693,28,18,ok,
694,28,20,ok,
695,28,17,ok,
696,28,19,ok,
697,28,16,ok,
698,28,16,ok,
699,28,16,ok,
700,28,17,ok,
701,28,19,ok,
702,28,16,ok,
703,28,21,ok,
704,28,18,ok,
705,28,17,ok,
706,28,14,ok,
707,28,19,ok,
708,28,19,ok,
709,28,19,ok,
710,28,16,ok,
711,28,16,ok,
712,28,21,ok,
713,28,15,ok,
714,28,17,ok,
715,28,18,ok,
716,28,14,ok,
717,28,15,ok,
718,28,19,ok,
719,28,17,ok,
720,28,18,ok,
721,28,17,ok,
722,28,17,ok,
723,28,16,ok,
724,28,19,ok,
725,28,21,ok,
726,28,18,ok,
727,28,21,ok,
728,28,17,ok,
729,28,20,ok,
730,28,18,ok,
731,28,19,ok,
732,28,19,ok,
733,28,17,ok,
734,28,19,ok,
735,28,16,ok,
736,28,16,ok,
737,28,21,ok,
738,28,20,ok,
739,28,18,ok,
740,28,14,ok,
741,28,19,ok,
742,28,19,ok,
743,28,19,ok,
744,28,15,ok,
745,28,16,ok,
746,28,20,ok,
747,28,21,ok,
748,28,18,ok,
749,28,18,ok,
750,28,22,ok,
751,28,17,ok,
752,28,21,ok,
753,28,19,ok,
754,28,19,ok,
755,28,18,ok,
756,28,21,ok,
757,28,14,ok,
758,28,15,ok,
759,28,19,ok,
760,28,18,ok,
761,28,19,ok,
762,28,20,ok,
763,28,18,ok,
764,28,18,ok,
765,28,20,ok,
766,28,13,ok,
767,28,17,ok,
768,28,20,ok,
769,28,13,ok,
770,28,16,ok,
771,28,18,ok,
772,28,18,ok,
773,28,16,ok,
774,28,20,ok,
775,28,21,ok,
776,28,17,ok,
777,28,19,ok,
778,28,20,ok,
779,28,19,ok,
780,28,20,ok,
781,28,18,ok,
782,28,20,ok,
783,28,17,ok,
784,28,15,ok,
785,28,18,ok,
786,28,19,ok,
787,28,19,ok,
788,28,19,ok,
789,28,22,ok,
790,28,20,ok,
791,28,18,ok,
792,28,18,ok,
793,28,20,ok,
794,28,18,ok,
795,28,16,ok,
796,28,20,ok,
797,28,16,ok,
798,28,19,ok,
799,28,19,ok,
800,28,17,ok,
801,28,18,ok,
802,28,21,ok,
803,28,19,ok,
804,28,18,ok,
805,28,19,ok,
806,28,15,ok,
807,28,22,ok,
808,28,17,ok,
809,28,16,ok,
810,28,17,ok,
811,28,17,ok,
812,28,17,ok,
813,28,18,ok,
814,28,19,ok,
815,28,19,ok,
816,28,21,ok,
817,28,18,ok,
818,28,19,ok,
819,28,16,ok,
820,28,16,ok,
821,28,20,ok,
822,28,18,ok,
823,28,17,ok,
824,28,19,ok,
825,28,18,ok,
826,28,15,ok,
827,28,17,ok,
828,28,17,ok,
829,28,17,ok,
830,28,20,ok,
831,28,18,ok,
832,28,17,ok,
833,28,14,ok,
834,28,18,ok,
835,28,19,ok,
836,28,20,ok,
837,28,15,ok,
838,28,19,ok,
839,28,20,ok,
840,28,19,ok,
841,28,17,ok,
842,28,20,ok,
843,28,15,ok,
844,28,18,ok,
845,28,16,ok,
846,28,21,ok,
847,28,20,ok,
848,28,16,ok,
849,28,19,ok,
850,28,18,ok,
851,28,17,ok,
852,28,18,ok,
853,28,19,ok,
854,28,19,ok,
855,28,20,ok,
856,28,16,ok,
857,28,19,ok,
858,28,17,ok,
859,28,15,ok,
860,28,18,ok,
861,28,16,ok,
862,28,17,ok,
863,28,17,ok,
864,28,22,ok,
865,28,17,ok,
866,28,16,ok,
867,28,16,ok,
868,28,19,ok,
869,28,21,ok,
870,28,15,ok,
871,28,18,ok,
872,28,17,ok,
873,28,19,ok,
874,28,19,ok,
875,28,18,ok,
876,28,16,ok,
877,28,16,ok,
878,28,14,ok,
879,28,19,ok,
880,28,18,ok,
881,28,21,ok,
882,28,18,ok,
883,28,18,ok,
884,28,18,ok,
885,28,19,ok,
886,28,20,ok,
887,28,17,ok,
888,28,18,ok,
889,28,16,ok,
890,28,18,ok,
891,28,18,ok,
892,28,20,ok,
893,28,19,ok,
894,28,16,ok,
895,28,18,ok,
896,28,17,ok,
897,28,18,ok,
898,28,18,ok,
899,28,19,ok,
900,28,18,ok,
901,28,17,ok,
902,28,17,ok,
903,28,16,ok,
904,28,17,ok,
905,28,17,ok,
906,28,16,ok,
907,28,18,ok,
908,28,17,ok,
