ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,rank_equal,rank_critic,rank_change_critic_minus_equal,absolute_rank_change
HEAD,57.01287518315475,58.85190554114832,42.03761296101695,59.93151654244704,100.0,63.56678204555342,53.971043551848965,2.0,1.0,-1.0,1.0
HNFG,49.827190597554,0.0,25.39428869069319,,100.0,,,,,,
HYDR,62.79123078401961,0.0,48.067867899788666,34.98939231719343,100.0,49.169698200200344,28.746695448573394,25.0,22.0,-3.0,3.0
IRAO,65.34807161472807,0.0,42.0409881506541,51.634772327063295,100.0,51.8047664184891,29.95914093401149,16.0,19.0,3.0,3.0
IVAT,76.35916976623936,0.0,42.42397797737696,,100.0,,,,,,
KAZT,60.999804154911075,0.0,56.49650507192956,40.04401852764573,100.0,51.50806555089728,31.61252905968498,18.0,15.0,-3.0,3.0
KZOS,64.09319456460128,0.0,48.14301612385859,,100.0,,,,,,
LEAS,58.11586712880895,22.7670248696953,45.92244323100464,,100.0,,,,,,
LENT,60.390581236295,45.5340497393906,45.396831583822824,,100.0,,,,,,
LKOH,63.124868978656494,0.0,,,,,,,,,
LSNGP,62.211740169824225,0.0,48.72851237427941,,100.0,,,,,,
LSRG,60.07777114211013,36.08488067145302,41.69918656112169,,,,,,,,
MAGN,66.0595413566633,75.63041955164012,55.499948230759834,,0.0,,,,,,
MBNK,57.21868271473403,0.0,65.7296683410902,,100.0,,,,,,
MDMG,61.86837996532135,36.08488067145302,49.7354470756684,,100.0,,,,,,
MGNT,,,33.08581600694556,,100.0,,,,,,
MGTSP,52.25563174595662,0.0,45.12127944742853,60.446831037318795,100.0,51.56474844614078,30.104469341548583,17.0,18.0,1.0,1.0
MOEX,72.46285455263775,45.5340497393906,35.99223459833849,,100.0,,,,,,
MRKC,,0.0,55.20155271399134,45.36922428229937,100.0,,,,,,
MRKP,56.37765932311235,0.0,44.537603320544264,45.36922428229937,100.0,49.2568973851912,28.30893254043929,24.0,24.0,0.0,0.0
MRKU,46.36122643060695,0.0,39.60280967327136,,100.0,,,,,,
