ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,rank_equal,rank_critic,rank_change_critic_minus_equal,absolute_rank_change
OGKB,58.55518989142229,3.007073389287752,30.244874487416684,,,,,,,,
OKEY,64.6510043046252,3.794504144949217,24.83577007096319,,,,,,,,
OZON,56.258218267833925,22.7670248696953,28.566890830974444,,,,,,,,
OZPH,61.695726399179875,1.4229390543559564,28.147182231325928,51.75013669697928,100.0,48.603196876368216,51.35223031282666,40.0,45.0,5.0,5.0
PHOR,54.24100391268339,7.910725005458144,22.007466896041414,48.380730277560765,100.0,46.50798521834874,50.101573907296284,52.0,52.0,0.0,0.0
PIKK,58.75552149674226,5.441262027389575,22.130402494202063,51.19781330355147,100.0,47.504999864377076,50.55819669200587,46.0,49.0,3.0,3.0
PLZL,63.7744195088019,7.216976134290604,36.98389800722923,43.648114834004005,,,,,,,
POLY,54.707616330072725,9.021220167863255,40.10169533802885,50.985996729984755,,,,,,,
POSI,46.5561935738224,4.009431185717002,25.025840982539428,49.43402408278279,0.0,25.00509796497233,19.086421466988153,64.0,64.0,0.0,0.0
PRMD,66.28516175388275,2.5296694299661446,40.51230709860632,51.95922357721872,100.0,52.257272371934796,54.762227750241045,21.0,24.0,3.0,3.0
QIWI,,,44.97475397437,,,,,,,,
RASP,59.31068237167757,15.378869175374968,40.37051002847097,44.56424395948698,,,,,,,
RENI,62.79123078401961,52.8633946819448,33.59472259495489,45.32544960812873,100.0,58.91495953380961,63.22227305890611,3.0,2.0,-1.0,1.0
RKKE,33.71727042380358,0.0,25.301243355989644,40.844029460143446,,,,,,,
RNFT,55.05749692652793,0.0,37.7903176928299,48.079399910765346,100.0,48.18544290602464,51.632481525295304,42.0,43.0,1.0,1.0
ROSN,59.282513444148975,1.626216062121093,31.498499023184024,54.96896683677644,100.0,49.47523907324611,52.231043765602195,37.0,39.0,2.0,2.0
RTKM,59.36051397800909,4.878648186363279,43.52563192065123,,100.0,,,,,,
RUAL,39.97203616003785,6.781199015185811,39.65544042080138,49.337453532097115,100.0,47.149225825624434,51.76128560304186,49.0,42.0,-7.0,7.0
SBER,73.45062238709131,12.197884095131451,40.980551788137745,53.17434676093371,50.0,45.96068100625884,43.16588870489002,55.0,61.0,6.0,6.0
SELG,57.176731870310626,0.0,25.931504222464746,33.44207712765651,100.0,43.31006264408638,47.391600638397456,61.0,60.0,-1.0,1.0
SFIN,55.38798876899496,0.0,38.039682498856344,,100.0,,,,,,
SGZH,62.48399055886942,36.07496648978785,29.28249468713676,43.89589798623837,100.0,54.34746994440648,58.33327995296327,8.0,7.0,-1.0,1.0
SMLT,70.96491361076582,4.405282890162067,33.31818751356377,44.81853058323326,100.0,50.70138291954499,53.29601995176252,31.0,32.0,1.0,1.0
SNGS,45.795015617785594,0.0,30.375933729213344,47.07625259580497,,,,,,,
SOFL,59.871616916058414,4.009431185717002,31.798058747870535,52.970323012793074,100.0,49.72988597248781,52.618546373172336,36.0,37.0,1.0,1.0
SPBE,55.07287102929517,2.5774914765323587,30.44498963447545,56.04221515556894,100.0,48.82751345917439,51.835704132657376,39.0,41.0,2.0,2.0
