scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight
740,0.9857690202517788,0.9312169312169312,0.7857142857142857,5.0,1.0,0.18464078359752886,0.2523617690210681,dirichlet_10,,
741,0.9058565955117679,0.8253968253968254,2.0,15.0,0.8181818181818182,0.37150244907752605,0.29255114468010585,dirichlet_10,,
742,0.986863711001642,0.9259259259259259,0.9285714285714286,3.0,0.6666666666666666,0.27365363515588115,0.27543751409313494,dirichlet_10,,
743,0.9863163656267103,0.9259259259259259,0.7857142857142857,4.0,1.0,0.14883686035338703,0.2460271261325081,dirichlet_10,,
744,0.9928845101258894,0.947089947089947,0.6428571428571429,3.0,0.8181818181818182,0.24725642361780997,0.2937577661505604,dirichlet_10,,
745,0.9824849480021893,0.9153439153439152,1.0714285714285714,4.0,0.8181818181818182,0.25570093273402145,0.2786470244400704,dirichlet_10,,
746,0.9781061850027366,0.8994708994708994,1.1428571428571428,5.0,0.8181818181818182,0.22151140266247163,0.2943196508671154,dirichlet_10,,
747,0.9950738916256158,0.9576719576719577,0.5714285714285714,2.0,1.0,0.07499149703493974,0.22989167496383234,dirichlet_10,,
748,0.9879584017515052,0.9259259259259259,0.8571428571428571,3.0,0.8181818181818182,0.2263549823199811,0.26754414144980027,dirichlet_10,,
749,0.9682539682539683,0.8730158730158729,1.3571428571428572,6.0,0.8181818181818182,0.17427954790816877,0.28713977395408435,dirichlet_10,,
750,0.9912424740010948,0.947089947089947,0.6428571428571429,3.0,1.0,0.12784138942798998,0.23837682963968881,dirichlet_10,,
751,0.9233716475095786,0.7936507936507936,2.0,12.0,0.8181818181818182,0.33993162326187265,0.2989939246084854,dirichlet_10,,
752,0.9764641488779421,0.8783068783068783,1.3571428571428572,4.0,0.6666666666666666,0.20130746622833562,0.24345505509562634,dirichlet_10,,
753,0.9709906951286261,0.8624338624338624,1.5714285714285714,4.0,0.6666666666666666,0.33517349268268015,0.32126696529108084,dirichlet_10,,
754,0.9917898193760263,0.947089947089947,0.6428571428571429,3.0,0.8181818181818182,0.09802267747768895,0.22289451543078284,dirichlet_10,,
755,0.9813902572523261,0.9259259259259259,1.0,6.0,0.8181818181818182,0.25783413769957597,0.2717335484657445,dirichlet_10,,
756,0.980295566502463,0.9047619047619047,1.0,5.0,0.8181818181818182,0.18679712966604176,0.2573395205787363,dirichlet_10,,
757,0.916256157635468,0.7883597883597884,2.357142857142857,11.0,0.8181818181818182,0.26201449857714143,0.29367963185419016,dirichlet_10,,
758,0.9896004378762999,0.9312169312169312,0.7142857142857143,3.0,0.6666666666666666,0.11929541985055461,0.22967165906367534,dirichlet_10,,
759,0.9813902572523261,0.8994708994708994,1.0714285714285714,4.0,1.0,0.20443376400065943,0.2984028678073427,dirichlet_10,,
760,0.9890530925013684,0.9365079365079365,0.7857142857142857,3.0,1.0,0.24022344715736665,0.26231988920383204,dirichlet_10,,
761,0.980295566502463,0.8994708994708994,1.0,5.0,0.8181818181818182,0.2054054861196515,0.25815947671292844,dirichlet_10,,
762,0.9846743295019157,0.9259259259259259,0.9285714285714286,5.0,0.8181818181818182,0.16771113939557156,0.28061002257101353,dirichlet_10,,
763,0.9709906951286261,0.8994708994708994,1.1428571428571428,8.0,0.6666666666666666,0.2236330210013013,0.3036706905627549,dirichlet_10,,
764,0.9534756431308156,0.8465608465608466,1.7857142857142858,8.0,0.8181818181818182,0.2717968944705073,0.2871738236888113,dirichlet_10,,
765,0.9928845101258894,0.9523809523809524,0.5714285714285714,3.0,0.8181818181818182,0.12952038220432865,0.25093278650870193,dirichlet_10,,
766,0.9660645867542419,0.857142857142857,1.5,6.0,0.8181818181818182,0.35201420202566525,0.3760071010128326,dirichlet_10,,
767,0.9890530925013684,0.9312169312169312,0.7857142857142857,3.0,0.8181818181818182,0.17272770870113707,0.24629683077217648,dirichlet_10,,
768,0.9693486590038315,0.8783068783068783,1.2142857142857142,6.0,1.0,0.2519376362129707,0.2785516779275383,dirichlet_10,,
769,0.983032293377121,0.9153439153439152,1.0,4.0,0.8181818181818182,0.1716390391959747,0.2742145373301694,dirichlet_10,,
770,0.9737274220032841,0.8888888888888887,1.2857142857142858,5.0,0.8181818181818182,0.2662480262978586,0.2868098147352718,dirichlet_10,,
771,0.9863163656267103,0.9259259259259259,0.9285714285714286,4.0,0.8181818181818182,0.13879754688444063,0.23690412011626139,dirichlet_10,,
772,0.9874110563765736,0.9365079365079365,0.7857142857142857,5.0,1.0,0.2191829046614498,0.2623164369295124,dirichlet_10,,
773,0.9649698960043787,0.8518518518518519,1.5714285714285714,6.0,1.0,0.29873562599852127,0.3086678147693467,dirichlet_10,,
774,0.9463601532567051,0.8148148148148148,1.8571428571428572,8.0,0.8181818181818182,0.2392676338495419,0.31816383674623766,dirichlet_10,,
775,0.967159277504105,0.8730158730158729,1.4285714285714286,7.0,0.8181818181818182,0.3640478539762451,0.31488732560901694,dirichlet_10,,
776,0.9261083743842365,0.7724867724867724,2.2857142857142856,7.0,0.8181818181818182,0.4251365633434073,0.4125682816717037,dirichlet_10,,
777,0.9841269841269842,0.9206349206349207,0.7857142857142857,5.0,0.8181818181818182,0.12496782370537224,0.23532582900517465,dirichlet_10,,
778,0.9792008757525997,0.8835978835978835,1.2857142857142858,3.0,0.6666666666666666,0.25349743013715564,0.2666462105915122,dirichlet_10,,
779,0.980295566502463,0.9153439153439152,1.0,6.0,0.8181818181818182,0.26217940028576137,0.2947304577545104,dirichlet_10,,
780,0.9704433497536945,0.8941798941798942,1.1428571428571428,8.0,0.6666666666666666,0.25134313268270037,0.3104687437103151,dirichlet_10,,
781,0.9737274220032841,0.8941798941798942,1.2857142857142858,5.0,0.8181818181818182,0.1325934147412993,0.26513834425315563,dirichlet_10,,
782,0.9896004378762999,0.9365079365079365,0.7142857142857143,3.0,1.0,0.14713376384380672,0.24247264691013146,dirichlet_10,,
783,0.9644225506294472,0.8730158730158729,1.5,6.0,0.8181818181818182,0.33032917701459874,0.27226688025498863,dirichlet_10,,
784,0.9748221127531472,0.8835978835978835,1.3571428571428572,5.0,1.0,0.2454524616771465,0.32272623083857316,dirichlet_10,,
785,0.9797482211275315,0.9153439153439152,1.0714285714285714,6.0,0.8181818181818182,0.29892206970379576,0.3286127579057328,dirichlet_10,,
786,0.9786535303776682,0.9047619047619047,1.0714285714285714,4.0,0.8181818181818182,0.1435865335323382,0.24932111827314876,dirichlet_10,,
787,0.9863163656267103,0.9259259259259259,0.8571428571428571,4.0,0.8181818181818182,0.12716851013324085,0.23695329652587765,dirichlet_10,,
788,0.9682539682539683,0.8518518518518519,1.5,4.0,0.8181818181818182,0.2510566078886179,0.26139165173085993,dirichlet_10,,
789,0.9704433497536945,0.857142857142857,1.5714285714285714,5.0,0.6666666666666666,0.4070119944122895,0.30590340484159556,dirichlet_10,,
790,0.9896004378762999,0.9365079365079365,0.7857142857142857,4.0,0.8181818181818182,0.12038859857379608,0.25875858722316497,dirichlet_10,,
791,0.9748221127531472,0.8941798941798942,1.2142857142857142,7.0,0.8181818181818182,0.30713345628595967,0.3333704139670006,dirichlet_10,,
