scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight
1842,0.9429487179487178,0.804563492063492,4.6875,16.0,0.6666666666666666,0.41090041791807796,0.30302169197619117,dirichlet_1,,
1843,0.3181318681318681,0.2331349206349206,16.5,56.0,0.1111111111111111,0.9447796360569714,0.6723898180284856,dirichlet_1,,
1844,0.7009157509157508,0.5188492063492063,11.25,34.0,0.3333333333333333,0.8574850955470433,0.440983919138582,dirichlet_1,,
1845,0.7416666666666666,0.5763888888888888,9.5,54.0,0.3333333333333333,0.6666381726434714,0.48470455580766386,dirichlet_1,,
1846,0.899587912087912,0.7301587301587301,6.28125,26.0,0.42857142857142855,0.6682479153242792,0.37168232455572764,dirichlet_1,,
1847,0.7690018315018313,0.6051587301587301,9.09375,42.0,0.3333333333333333,0.7921552844899531,0.5045313604667886,dirichlet_1,,
1848,0.9488553113553111,0.8234126984126984,4.3125,20.0,0.8181818181818182,0.485615836311607,0.3209553443752,dirichlet_1,,
1849,0.8744963369963369,0.7222222222222222,6.34375,33.0,0.3333333333333333,0.41705501546668766,0.33423770039564454,dirichlet_1,,
1850,0.9037545787545787,0.8095238095238094,4.5,39.0,1.0,0.44722905460690887,0.34417003038788435,dirichlet_1,,
1851,0.9186355311355311,0.7569444444444444,5.71875,21.0,0.6666666666666666,0.42320099011451995,0.3988262507406774,dirichlet_1,,
1852,0.8432234432234431,0.7222222222222222,6.46875,57.0,0.6666666666666666,0.6028612265688739,0.47005241360408145,dirichlet_1,,
1853,0.6188186813186813,0.4394841269841269,13.1875,41.0,0.3333333333333333,0.7403812820043223,0.43448962738999747,dirichlet_1,,
1854,0.723168498168498,0.5595238095238095,9.90625,44.0,0.25,0.7644288511092909,0.4007260292209281,dirichlet_1,,
1855,0.9673076923076922,0.8660714285714285,3.46875,13.0,0.8181818181818182,0.3402742223519567,0.3202410377800544,dirichlet_1,,
1856,0.39500915750915744,0.28869047619047616,14.90625,60.0,0.1111111111111111,0.9561614015370637,0.6780807007685319,dirichlet_1,,
1857,0.8693223443223442,0.7222222222222222,6.78125,40.0,0.6666666666666666,0.7277081744948657,0.45549655074079143,dirichlet_1,,
1858,0.5741758241758241,0.4375,11.875,59.0,0.17647058823529413,0.8119057014774337,0.5059805611661159,dirichlet_1,,
1859,0.963507326007326,0.8472222222222222,3.65625,14.0,0.8181818181818182,0.4895507228519258,0.44477536142596297,dirichlet_1,,
1860,0.664102564102564,0.47718253968253965,11.71875,51.0,0.17647058823529413,0.8172562081315369,0.532790650406161,dirichlet_1,,
1861,0.8404304029304028,0.6924603174603174,6.96875,37.0,0.3333333333333333,0.35556097301490625,0.33556541183764316,dirichlet_1,,
1862,0.8124084249084248,0.6418650793650794,8.25,35.0,0.42857142857142855,0.5244780039849352,0.4249065936440195,dirichlet_1,,
1863,0.8735805860805859,0.751984126984127,5.875,32.0,0.42857142857142855,0.44422655992191096,0.28549290016815126,dirichlet_1,,
1864,0.8251373626373625,0.6299603174603174,8.5,29.0,0.3333333333333333,0.7563585393227826,0.5044468306022147,dirichlet_1,,
1865,0.9122252747252746,0.7628968253968254,5.46875,24.0,0.6666666666666666,0.570245221876313,0.4449527552780367,dirichlet_1,,
1866,0.9290293040293038,0.7936507936507936,4.9375,34.0,0.6666666666666666,0.4808435543662126,0.4016612207623769,dirichlet_1,,
1867,0.9529304029304028,0.8263888888888888,4.4375,15.0,0.8181818181818182,0.2917611315784641,0.32857068322784977,dirichlet_1,,
1868,0.4545329670329669,0.308531746031746,15.8125,52.0,0.17647058823529413,0.984154696355045,0.45027209572602905,dirichlet_1,,
1869,0.8046703296703297,0.6349206349206349,8.125,38.0,0.6666666666666666,0.7308941066013581,0.5120856456419499,dirichlet_1,,
1870,0.9005036630036629,0.7371031746031745,6.125,21.0,0.6666666666666666,0.5670045346137444,0.32725719834003636,dirichlet_1,,
1871,0.9923076923076922,0.9355158730158729,1.75,7.0,1.0,0.5811330868738719,0.490566543436936,dirichlet_1,,
1872,0.8078754578754578,0.6666666666666666,7.625,50.0,0.8181818181818182,0.6037395684197183,0.34628464101704065,dirichlet_1,,
1873,0.7697344322344322,0.5982142857142857,8.75,41.0,0.25,1.018847600457521,0.7094238002287605,dirichlet_1,,
