ticker,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024
HNFG,"ПАО ""ЭЙЧ ЭФ ДЖИ""",32,Торговля розничная одеждой в специализированных магазинах,HNFG,2267.0,2527.0,4022733000.0,6061991000.0,22600000000.0,26500000000.0,2060000000.0,2710000000.0,0.142,0.086,568.9,611.6,39.62,0.14,603.0,517.2,32.0,-0.09,0,0,0.091150442,0.102264151,0.17799704,0.228754377,23.84121574322465,7.726212650507529
HYDR,"ПАО ""РУСГИДРО""",21,"Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций",HYDR,,,714172000000.0,974624000000.0,1317970000000.0,1552960000000.0,562166000000.0,729720000000.0,-0.0108,0.0466,0.7328,0.5206,0.0,-0.29,0.514,0.4143,0.0,-0.19,1,1,0.426538346,0.469890391,0.54187121,0.627592208,27.90711378998957,
IRAO,"ПАО ""ИНТЕР РАО""",23,Торговля электроэнергией,IRAO,,,2055453000.0,2586627000.0,806734000000.0,754533000000.0,336535000000.0,284644000000.0,0.0487,0.0452,4.0095,3.729,0.3538,0.02,3.7455,3.095,0.3214,-0.09,1,1,0.417157638,0.377245385,0.00254787,0.003428116,27.416259835019897,
IVAT,"ПАО ""ИВА""",8,Разработка компьютерного программного обеспечения,IVAT,380.0,481.0,258574000.0,276118000.0,6990000000.0,8590000000.0,510000000.0,508000000.0,0.271,0.165,,198.9,0.0,,201.6,167.35,0.0,-0.17,0,0,0.072961373,0.059138533,0.03699199,0.032144121,22.66774639319213,5.940171252720432
KAZT,"ПАО ""КУЙБЫШЕВАЗОТ""",33,Производство азотных минеральных или химических удобрений,KAZT,,,40571672000.0,41649623000.0,115408000000.0,117643000000.0,22938886000.0,18117169000.0,0.0477,0.0709,639.6,459.0,9.5,-0.27,479.0,417.4,4.0,-0.12,0,0,0.198764212,0.154001212,0.35155135,0.354033922,25.471739512707728,
KZOS,"ПАО ""КАЗАНЬОРГСИНТЕЗ""",32,Производство пластмасс и синтетических смол в первичных формах,KZOS,,,106276000000.0,139327000000.0,143850000000.0,173146000000.0,32690409000.0,62075665000.0,0.0928,0.046,110.0,79.4,4.15,-0.24,80.5,66.4,2.85,-0.14,0,0,0.227252952,0.358515531,0.73879398,0.804679579,25.692036926943967,
LEAS,"ПАО ""ЛК ""Европлан""",26,Деятельность по финансовой аренде (лизингу/сублизингу),LEAS,3117.0,2958.0,4600202000.0,4348575000.0,302100000000.0,205300000000.0,226700000000.0,135900000000.0,0.049,0.025,,714.0,79.0,,691.0,546.3,58.0,-0.13,0,0,0.75041377,0.66195811,0.01522741,0.021181564,26.434023925339037,8.044626279767337
LENT,"МКПАО ""Лента""",32,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",LENT,66717.0,76598.0,2576806000.0,709522000.0,495400000000.0,604500000000.0,107900000000.0,9900000000.0,0.049,0.063,677.0,1195.0,0.0,0.77,1178.0,1984.5,0.0,0.68,0,0,0.217803795,0.016377171,0.00520147,0.001173734,26.92863135400167,11.10821507199294
LKOH,"ПАО ""ЛУКОЙЛ""",33,Производство жидкого топлива,LKOH,,,5448939000.0,5612934000.0,2863930000000.0,2724370000000.0,1523990000000.0,1614190000000.0,0.2633,0.1445,6803.5,7235.0,1055.0,0.22,7122.0,5908.5,655.0,-0.08,0,0,0.53213162,0.592499044,0.00190261,0.002060268,28.683215923387472,
LSNGP,"ПАО ""Ленэнерго""",139,Передача электроэнергии и технологическое присоединение к распределительным электросетям,LSNGP,8135.0,,232546000000.0,265610000000.0,299200000000.0,345700000000.0,28200000000.0,28800000000.0,0.071,0.101,189.15,214.15,0.428,0.13,211.7,302.15,0.538,0.43,1,1,0.094251337,0.083309228,0.77722677,0.768326138,26.424378083046733,9.003931019653137
