sample,predictor,outcome,method,n,correlation,p_value,q_value_bh
all_managers,expertise_score,roa_2024,Spearman,102,-0.018982456640085077,0.8498046533358615,0.8812788997557083
all_managers,expertise_score,stock_return_2024,Pearson,92,0.07830535239458,0.4581178495959587,0.8782674827071485
all_managers,expertise_score,stock_return_2024,Spearman,92,0.07429646315860285,0.4815219566155068,0.7326746364709246
all_managers,face_score,roa_2025,Pearson,74,0.07873611612948025,0.5048877816148778,0.8782674827071485
all_managers,face_score,roa_2025,Spearman,74,0.06387595070894908,0.5887284499582338,0.7326746364709246
all_managers,face_score,stock_return_2025,Pearson,73,0.1187570015796584,0.3169746767368226,0.8782674827071485
all_managers,face_score,stock_return_2025,Spearman,73,0.12635298566829606,0.28678380953682014,0.6691622222525804
all_managers,face_score,roa_2024,Pearson,75,0.18517192663817805,0.11172450207039006,0.8782674827071485
all_managers,face_score,roa_2024,Spearman,75,0.20444539292419217,0.0785017096219577,0.37393262507853936
all_managers,face_score,stock_return_2024,Pearson,66,0.04405447192534355,0.725413890647784,0.9371672140907461
all_managers,face_score,stock_return_2024,Spearman,66,0.05829479516636357,0.6419771578164916,0.7326746364709246
all_managers,communication_score,roa_2025,Pearson,77,0.060496627970434605,0.6012164530616407,0.8782674827071485
all_managers,communication_score,roa_2025,Spearman,77,0.11247458271065232,0.33010017346630505,0.7109849890043493
all_managers,communication_score,stock_return_2025,Pearson,77,0.20284302960207679,0.07684887493957325,0.8782674827071485
all_managers,communication_score,stock_return_2025,Spearman,77,0.236795350366334,0.0381282908212633,0.37393262507853936
all_managers,communication_score,roa_2024,Pearson,78,0.09154970844846988,0.42535395653549396,0.8782674827071485
all_managers,communication_score,roa_2024,Spearman,78,0.12765087432778113,0.2653891019244321,0.6691622222525804
all_managers,communication_score,stock_return_2024,Pearson,66,0.06088513681215217,0.6272271383250149,0.8782674827071485
all_managers,communication_score,stock_return_2024,Spearman,66,-0.05166675690735022,0.6803407338658585,0.7326746364709246
all_managers,index_equal,roa_2025,Pearson,60,-0.12085694693256277,0.3576570632893403,0.8782674827071485
all_managers,index_equal,roa_2025,Spearman,60,-0.24431044628754378,0.05994084842628999,0.37393262507853936
all_managers,index_equal,stock_return_2025,Pearson,59,-0.04477007386106889,0.7363456682141577,0.9371672140907461
all_managers,index_equal,stock_return_2025,Spearman,59,-0.11916871599040642,0.3686651648909475,0.7326746364709246
all_managers,index_equal,roa_2024,Pearson,61,0.012896490271871654,0.9214200662452442,0.9809468283491133
all_managers,index_equal,roa_2024,Spearman,61,-0.0810968032225117,0.5343972805086994,0.7326746364709246
all_managers,index_equal,stock_return_2024,Pearson,52,-0.15568838843393074,0.2704049028595988,0.8782674827071485
all_managers,index_equal,stock_return_2024,Spearman,52,-0.2193945185328826,0.11811735529749795,0.46143312718818685
