ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024,industry_group,media_score_10,awards_score_10,expertise_score_10,face_score_10,communication_score_10,index_equal_10,index_critic_10,roa_2025_w,stock_return_2025_w
HEAD,57.01287518315475,58.85190554114832,42.03761296101695,59.93151654244704,100.0,63.56678204555342,53.971043551848965,"МКПАО ""Хэдхантер""",25,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",HEAD,,,930126000.0,2153761000.0,24500000000.0,34900000000.0,1500000000.0,5000000.0,0.998,0.596,,3710.0,907.0,,3626.0,2912.0,466.0,-0.07,0,0,0.06122449,0.000143266,0.03796433,0.06171235,23.921938954497094,,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",5.701287518315475,5.885190554114832,4.203761296101694,5.993151654244704,10.0,6.356678204555342,5.397104355184896,0.596,-0.07
HNFG,49.827190597554,0.0,25.39428869069319,,100.0,,,"ПАО ""ЭЙЧ ЭФ ДЖИ""",32,Торговля розничная одеждой в специализированных магазинах,HNFG,2267.0,2527.0,4022733000.0,6061991000.0,22600000000.0,26500000000.0,2060000000.0,2710000000.0,0.142,0.086,568.9,611.6,39.62,0.14,603.0,517.2,32.0,-0.09,0,0,0.091150442,0.102264151,0.17799704,0.228754377,23.84121574322465,7.726212650507529,Прочие,4.9827190597554,0.0,2.539428869069319,,10.0,,,0.086,-0.09
HYDR,62.79123078401961,0.0,48.067867899788666,34.98939231719343,100.0,49.169698200200344,28.74669544857339,"ПАО ""РУСГИДРО""",21,"Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций",HYDR,,,714172000000.0,974624000000.0,1317970000000.0,1552960000000.0,562166000000.0,729720000000.0,-0.0108,0.0466,0.7328,0.5206,0.0,-0.29,0.514,0.4143,0.0,-0.19,1,1,0.426538346,0.469890391,0.54187121,0.627592208,27.90711378998957,,Прочие,6.279123078401961,0.0,4.806786789978867,3.498939231719343,10.0,4.916969820020034,2.874669544857339,0.0466,-0.19
IRAO,65.34807161472807,0.0,42.0409881506541,51.634772327063295,100.0,51.8047664184891,29.95914093401149,"ПАО ""ИНТЕР РАО""",23,Торговля электроэнергией,IRAO,,,2055453000.0,2586627000.0,806734000000.0,754533000000.0,336535000000.0,284644000000.0,0.0487,0.0452,4.0095,3.729,0.3538,0.02,3.7455,3.095,0.3214,-0.09,1,1,0.417157638,0.377245385,0.00254787,0.003428116,27.416259835019897,,Прочие,6.534807161472807,0.0,4.20409881506541,5.163477232706329,10.0,5.1804766418489105,2.995914093401149,0.0452,-0.09
IVAT,76.35916976623936,0.0,42.42397797737696,,100.0,,,"ПАО ""ИВА""",8,Разработка компьютерного программного обеспечения,IVAT,380.0,481.0,258574000.0,276118000.0,6990000000.0,8590000000.0,510000000.0,508000000.0,0.271,0.165,,198.9,0.0,,201.6,167.35,0.0,-0.17,0,0,0.072961373,0.059138533,0.03699199,0.032144121,22.66774639319213,5.940171252720432,Разработка компьютерного программного обеспечения,7.635916976623936,0.0,4.242397797737696,,10.0,,,0.165,-0.17
KAZT,60.999804154911075,0.0,56.49650507192956,40.04401852764573,100.0,51.50806555089728,31.61252905968498,"ПАО ""КУЙБЫШЕВАЗОТ""",33,Производство азотных минеральных или химических удобрений,KAZT,,,40571672000.0,41649623000.0,115408000000.0,117643000000.0,22938886000.0,18117169000.0,0.0477,0.0709,639.6,459.0,9.5,-0.27,479.0,417.4,4.0,-0.12,0,0,0.198764212,0.154001212,0.35155135,0.354033922,25.471739512707728,,Прочие,6.099980415491108,0.0,5.649650507192956,4.004401852764573,10.0,5.150806555089728,3.161252905968498,0.0709,-0.12
KZOS,64.09319456460128,0.0,48.14301612385859,,100.0,,,"ПАО ""КАЗАНЬОРГСИНТЕЗ""",32,Производство пластмасс и синтетических смол в первичных формах,KZOS,,,106276000000.0,139327000000.0,143850000000.0,173146000000.0,32690409000.0,62075665000.0,0.0928,0.046,110.0,79.4,4.15,-0.24,80.5,66.4,2.85,-0.14,0,0,0.227252952,0.358515531,0.73879398,0.804679579,25.692036926943967,,Прочие,6.4093194564601275,0.0,4.814301612385859,,10.0,,,0.046,-0.14
LEAS,58.11586712880895,22.7670248696953,45.92244323100464,,100.0,,,"ПАО ""ЛК ""Европлан""",26,Деятельность по финансовой аренде (лизингу/сублизингу),LEAS,3117.0,2958.0,4600202000.0,4348575000.0,302100000000.0,205300000000.0,226700000000.0,135900000000.0,0.049,0.025,,714.0,79.0,,691.0,546.3,58.0,-0.13,0,0,0.75041377,0.66195811,0.01522741,0.021181564,26.434023925339037,8.044626279767337,Прочие,5.811586712880895,2.2767024869695303,4.592244323100465,,10.0,,,0.025,-0.13
LENT,60.390581236295,45.5340497393906,45.396831583822824,,100.0,,,"МКПАО ""Лента""",32,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",LENT,66717.0,76598.0,2576806000.0,709522000.0,495400000000.0,604500000000.0,107900000000.0,9900000000.0,0.049,0.063,677.0,1195.0,0.0,0.77,1178.0,1984.5,0.0,0.68,0,0,0.217803795,0.016377171,0.00520147,0.001173734,26.92863135400167,11.10821507199294,Прочие,6.0390581236295,4.5534049739390605,4.5396831583822825,,10.0,,,0.063,0.68
LKOH,63.124868978656494,0.0,,,,,,"ПАО ""ЛУКОЙЛ""",33,Производство жидкого топлива,LKOH,,,5448939000.0,5612934000.0,2863930000000.0,2724370000000.0,1523990000000.0,1614190000000.0,0.2633,0.1445,6803.5,7235.0,1055.0,0.22,7122.0,5908.5,655.0,-0.08,0,0,0.53213162,0.592499044,0.00190261,0.002060268,28.683215923387472,,Прочие,6.312486897865649,0.0,,,,,,0.1445,-0.08
